Term 1,Term 2,frequency of bigram,frequency of context (Term 1), conditional probability of bigram
"laboratorio,",pero,1,1,1.0
pero,la,1,13,0.07692307692307693
la,idea,1,89,0.011235955056179775
idea,es,1,1,1.0
que,ustedes,1,97,0.010309278350515464
ustedes,revisen,1,3,0.3333333333333333
revisen,el,1,1,1.0
el,contenido,1,59,0.01694915254237288
contenido,de,1,1,1.0
las,noticias,1,40,0.025
noticias,recuperadas,1,4,0.25
recuperadas,y,1,1,1.0
y,verifiquen,1,60,0.016666666666666666
que,efectivamente,1,97,0.010309278350515464
efectivamente,se,1,1,1.0
se,comparten,1,31,0.03225806451612903
comparten,tokens.,1,1,1.0
tokens.,</s>,1,1,1.0
<s>,Esto,1,488,0.0020491803278688526
Esto,es,1,1,1.0
es,lo,1,25,0.04
el,"profe,",1,59,0.01694915254237288
"profe,",por,1,1,1.0
por,lo,1,20,0.05
es,hacer,1,25,0.04
hacer,lo,1,8,0.125
lo,mismo,1,31,0.03225806451612903
mismo,pero,1,3,0.3333333333333333
pero,con,1,13,0.07692307692307693
noticias,del,1,4,0.25
del,csv,1,11,0.09090909090909091
csv,</s>,1,3,0.3333333333333333
"No,",los,1,15,0.06666666666666667
los,3,1,24,0.041666666666666664
3,csv,1,6,0.16666666666666666
csv,son,1,3,0.3333333333333333
los,mismo,1,24,0.041666666666666664
mismo,"Emily,",1,3,0.3333333333333333
"Emily,",recuerda,1,1,1.0
recuerda,que,1,1,1.0
lo,corrimos,1,31,0.03225806451612903
hora,de,1,2,0.5
mismas,páginas,1,4,0.25
páginas,</s>,1,1,1.0
Es,comparar,1,3,0.3333333333333333
comparar,las,1,2,0.5
noticias,con,1,4,0.25
con,los,1,23,0.043478260869565216
los,vectorizadores,1,24,0.041666666666666664
vectorizadores,como,1,1,1.0
como,si,1,8,0.125
si,fueran,1,15,0.06666666666666667
fueran,los,1,1,1.0
los,documentos,1,24,0.041666666666666664
documentos,de,1,1,1.0
prueba,</s>,1,2,0.5
<s>,Por,1,488,0.0020491803278688526
Por,eso,1,1,1.0
eso,es,1,7,0.14285714285714285
es,documento,1,25,0.04
documento,de,1,2,0.5
prueba,1,1,2,0.5
1,",",1,6,0.16666666666666666
",","2,",1,1,1.0
"2,","3,",1,1,1.0
"3,","4,",1,1,1.0
"4,",…,1,1,1.0
…,hasta,1,1,1.0
la,256,1,89,0.011235955056179775
256,creo,1,1,1.0
son,las,1,9,0.1111111111111111
las,noticas,1,40,0.025
noticas,totales,1,1,1.0
totales,que,1,1,1.0
que,tenemos,1,97,0.010309278350515464
tenemos,</s>,1,4,0.25
y,saben,1,60,0.016666666666666666
saben,cuando,1,1,1.0
cuando,deben,1,4,0.25
deben,presentar,1,2,0.5
presentar,Yanelli,1,1,1.0
Yanelli,y,1,1,1.0
y,su,1,60,0.016666666666666666
su,"equipo,",1,17,0.058823529411764705
"equipo,",es,1,2,0.5
me,preguntó,1,19,0.05263157894736842
preguntó,</s>,1,1,1.0
En,terminos,1,5,0.2
terminos,"simples,",1,1,1.0
"simples,",al,1,1,1.0
al,picar,1,14,0.07142857142857142
